,speed(RPM),max_torque
259,2540,246.8634826
260,2548,246.8634826
261,2556,246.8634826
262,2564,246.8634826
263,2571,246.8634826
264,2579,246.8634826
265,2587,246.8634826
266,2595,246.8634826
267,2602,246.8634826
268,2610,246.8634826
269,2618,246.8634826
270,2626,246.8634826
271,2634,246.8634826
272,2641,246.8634826
273,2649,246.8634826
274,2657,246.8634826
275,2665,246.8634826
276,2673,246.8634826
277,2680,246.8634826
278,2688,246.8634826
279,2696,246.8634826
280,2704,246.8634826
281,2712,246.8634826
282,2719,246.8634826
283,2727,246.8634826
284,2735,246.8634826
285,2743,246.8634826
286,2751,246.8634826
287,2758,246.8634826
288,2766,246.8634826
289,2774,246.8634826
290,2782,246.8634826
291,2789,246.8634826
292,2797,246.8634826
293,2805,246.8634826
294,2813,246.8634826
295,2821,246.8634826
296,2828,246.8634826
297,2836,246.8634826
298,2844,246.8634826
299,2852,246.8634826
300,2860,246.8634826
301,2867,246.8634826
302,2875,246.8634826
303,2883,246.8634826
304,2891,246.8634826
305,2899,246.8634826
306,2906,246.8634826
307,2914,246.8634826
308,2922,246.8634826
309,2930,246.8634826
310,2937,246.8634826
311,2945,246.8634826
312,2953,246.8634826
313,2961,246.8634826
314,2969,246.8634826
315,2976,246.8634826
316,2984,246.8634826
317,2992,246.8634826
318,3000,246.8634826
319,3008,246.8634826
320,3015,246.8634826
321,3023,246.8634826
322,3031,246.8634826
323,3039,246.8634826
324,3046,246.8634826
325,3054,246.8634826
326,3062,246.8634826
327,3070,246.8634826
328,3078,246.8634826
329,3085,246.8634826
330,3093,246.8634826
331,3101,246.8634826
332,3109,246.8634826
333,3116,246.8634826
334,3124,246.8634826
335,3132,246.8634826
336,3140,246.8634826
337,3148,246.8634826
338,3155,246.8634826
339,3163,246.8634826
340,3171,246.8634826
341,3179,246.8634826
342,3187,246.8634826
343,3194,246.8634826
344,3202,246.8634826
345,3210,246.8634826
346,3218,246.8634826
347,3225,246.8634826
348,3233,246.8634826
349,3241,246.8634826
350,3249,246.8634826
351,3257,246.8634826
352,3264,246.8634826
353,3272,246.8634826
354,3280,246.8634826
355,3288,246.8634826
356,3295,246.8634826
357,3303,246.8634826
358,3311,246.8634826
359,3319,246.8634826
360,3327,246.8634826
361,3334,246.8634826
362,3342,246.8634826
363,3350,246.8634826
364,3358,246.8634826
365,3365,246.8634826
