(N)
-0.0409
-0.02211
0.04412
-0.0038
-0.04344
0.0172
0.00639
0.0313
-0.03289
-0.0129
0.03263
0.06589
0.02527
0.57624
1.93993
4.30817
6.86331
9.16305
10.67514
11.51656
12.0546
12.69297
13.21846
13.68816
14.08136
14.55105
15.02652
15.47872
15.72316
16.09904
16.39654
16.58883
16.56623
16.56413
16.6167
16.74946
16.66891
16.81208
16.83193
16.89332
17.03403
17.20585
17.57751
18.07339
18.58691
19.31419
20.01478
20.92233
21.6187
22.45926
23.24959
23.88298
24.40447
24.81367
25.18228
25.28864
25.18714
25.0508
24.8702
24.83038
24.7456
24.826
24.95994
25.21664
25.48923
26.13094
26.78456
27.37345
27.87566
28.47224
28.98593
29.65497
30.7871
33.30545
36.53141
40.29824
44.42596
48.84526
53.33555
56.98522
61.1594
70.20625
80.44009
91.44715
102.43032
113.71687
123.67752
133.88382
143.63283
154.63492
166.10716
176.79158
187.63263
198.19504
208.6472
219.02361
229.539
242.36086
255.26344
270.23718
287.06891
304.24039
320.33099
337.26471
353.36288
370.35495
389.02179
407.8559
427.23996
446.31689
466.60834
487.76642
506.43042
525.26398
544.57593
564.54224
584.89429
606.03113
625.71027
644.14819
662.4671
677.96954
697.53711
717.8053
736.89642
756.90588
776.39001
795.08698
815.48041
835.19519
855.15582
875.13574
896.43604
918.74445
938.56091
958.49933
976.8147
993.80664
1016.14319
1036.92053
1057.50098
1079.14807
1100.89514
1123.10889
1143.93225
1163.2262
1182.6759
1204.84204
1225.96875
1247.63977
1269.8573
1291.78894
1312.39148
1329.76355
1351.48169
1374.83118
1395.72888
1418.65979
1440.80762
1462.49402
1481.55762
1506.55884
1529.7157
1552.60474
1575.90051
1599.00098
1620.46765
1643.15601
1664.84241
1685.39832
1706.48962
1728.72754
1752.62903
1776.72717
1799.75122
1824.34717
1848.0824
1868.62085
1890.85364
1913.90747
1933.41821
1951.6438
1972.60681
1996.11536
2018.72888
2040.578
2058.93188
2084.13184
2108.12036
2131.79785
2155.99829
2179.9541
2203.69043
2225.32861
2250.41992
2275.14502
2299.68066
2324.89844
2347.8125
2372.60107
2395.72144
2417.80762
2439.40454
2462.60107
2486.5144
2511.26147
2535.00928
2560.21631
2585.31641
2607.07666
2630.44775
2655.51367
2679.89673
2704.87988
2729.95215
2755.16748
2778.82349
2802.20386
2824.52783
2846.04077
2871.12793
2895.04224
2919.64551
2944.11157
2968.1001
2992.48462
3016.22998
3041.35107
3064.3291
3089.37866
3114.65894
3139.88379
3162.87109
3184.9375
3208.38062
3230.49097
3255.16309
3279.68457
3304.83936
3330.06641
3355.17456
3380.35229
3404.86694
3428.80225
3452.63672
3477.00928
3500.97876
3524.55249
3549.71118
3574.82593
3598.75806
3618.63306
3643.93091
3669.10132
3693.37231
3718.62476
3743.82104
3767.96875
3792.55615
3815.66821
3840.8855
3865.97461
3891.00342
3915.79663
3941.01611
3965.21387
3987.70337
4009.81812
4033.06372
4058.26025
4083.24634
4108.27441
4133.34912
4158.47705
4183.67578
4208.14941
4231.01172
4256.17822
4281.39062
4305.18164
4329.63086
4354.79248
